,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,season,total_delay
250563,2013,7,1,715.0,705,10.0,819.0,819,0.0,UA,1160,N39463,EWR,BOS,42.0,200,7,5,2013-07-01 07:00:00,summer,10.0
111683,2013,2,1,1228.0,1235,-7.0,1410.0,1415,-5.0,MQ,4404,N836MQ,JFK,RDU,84.0,427,12,35,2013-02-01 12:00:00,winter,-12.0
142680,2013,3,7,,2145,,,2246,,EV,4276,N15986,EWR,BDL,,116,21,45,2013-03-07 21:00:00,winter,
180850,2013,4,17,1554.0,1545,9.0,1855.0,1916,-21.0,DL,1043,N3742C,JFK,SEA,320.0,2422,15,45,2013-04-17 15:00:00,spring,-12.0
120564,2013,2,11,2024.0,2000,24.0,2322.0,2311,11.0,B6,801,N591JB,JFK,FLL,149.0,1069,20,0,2013-02-11 20:00:00,winter,35.0
155014,2013,3,21,708.0,709,-1.0,1009.0,1009,0.0,B6,987,N592JB,JFK,MCO,142.0,944,7,9,2013-03-21 07:00:00,spring,-1.0
242904,2013,6,23,706.0,700,6.0,949.0,951,-2.0,B6,23,N766JB,JFK,LAX,305.0,2475,7,0,2013-06-23 07:00:00,summer,4.0
196494,2013,5,4,833.0,741,52.0,944.0,857,47.0,EV,4252,N16559,EWR,MKE,100.0,725,7,41,2013-05-04 07:00:00,spring,99.0
156456,2013,3,22,1546.0,1538,8.0,1917.0,1857,20.0,B6,137,N703JB,JFK,RSW,155.0,1074,15,38,2013-03-22 15:00:00,spring,28.0
53521,2013,10,29,1355.0,1359,-4.0,1603.0,1602,1.0,EV,4193,N18114,EWR,MSP,167.0,1008,13,59,2013-10-29 13:00:00,fall,-3.0
107712,2013,12,27,1925.0,1929,-4.0,2130.0,2146,-16.0,EV,4543,N12122,EWR,DSM,148.0,1017,19,29,2013-12-27 19:00:00,winter,-20.0
61421,2013,11,7,611.0,611,0.0,858.0,912,-14.0,B6,601,N537JB,JFK,FLL,149.0,1069,6,11,2013-11-07 06:00:00,fall,-14.0
219085,2013,5,28,1902.0,1900,2.0,2018.0,2037,-19.0,UA,1199,N77530,LGA,ORD,108.0,733,19,0,2013-05-28 19:00:00,spring,-17.0
27907,2013,10,1,2024.0,2025,-1.0,2319.0,2350,-31.0,B6,915,N766JB,JFK,SFO,327.0,2586,20,25,2013-10-01 20:00:00,fall,-32.0
214593,2013,5,23,2036.0,1825,131.0,2204.0,2005,119.0,WN,1354,N969WN,LGA,BNA,118.0,764,18,25,2013-05-23 18:00:00,spring,250.0
315741,2013,9,8,1256.0,1240,16.0,1438.0,1439,-1.0,EV,5067,N605QX,EWR,DTW,87.0,488,12,40,2013-09-08 12:00:00,summer,15.0
3893,2013,1,5,1143.0,1145,-2.0,1401.0,1425,-24.0,WN,7,N916WN,LGA,DEN,238.0,1620,11,45,2013-01-05 11:00:00,winter,-26.0
191573,2013,4,29,706.0,710,-4.0,952.0,1002,-10.0,UA,1718,N37298,EWR,TPA,148.0,997,7,10,2013-04-29 07:00:00,spring,-14.0
84585,2013,12,2,1253.0,1300,-7.0,1355.0,1410,-15.0,US,2148,N957UW,LGA,BOS,44.0,184,13,0,2013-12-02 13:00:00,fall,-22.0
30611,2013,10,4,1646.0,1649,-3.0,1901.0,1903,-2.0,EV,4294,N12564,EWR,SAV,99.0,708,16,49,2013-10-04 16:00:00,fall,-5.0
64170,2013,11,10,750.0,800,-10.0,1055.0,1111,-16.0,B6,1511,N715JB,EWR,RSW,158.0,1068,8,0,2013-11-10 08:00:00,fall,-26.0
287836,2013,8,9,851.0,820,31.0,1050.0,1043,7.0,EV,4998,N676CA,LGA,MCI,150.0,1107,8,20,2013-08-09 08:00:00,summer,38.0
156100,2013,3,22,845.0,820,25.0,1041.0,1017,24.0,EV,4691,N16976,EWR,DAY,84.0,533,8,20,2013-03-22 08:00:00,spring,49.0
183527,2013,4,20,1210.0,1130,40.0,1528.0,1432,56.0,DL,2393,N935DL,LGA,TPA,165.0,1010,11,30,2013-04-20 11:00:00,spring,96.0
252756,2013,7,3,1209.0,1209,0.0,1327.0,1316,11.0,B6,1191,N373JB,JFK,ACK,50.0,199,12,9,2013-07-03 12:00:00,summer,11.0
30123,2013,10,4,822.0,829,-7.0,1005.0,1029,-24.0,MQ,3478,N528MQ,LGA,DTW,79.0,502,8,29,2013-10-04 08:00:00,fall,-31.0
228057,2013,6,7,1022.0,1025,-3.0,1211.0,1222,-11.0,US,604,N676AW,EWR,PHX,275.0,2133,10,25,2013-06-07 10:00:00,spring,-14.0
289777,2013,8,11,1240.0,1250,-10.0,1416.0,1425,-9.0,MQ,3361,N836MQ,JFK,RDU,68.0,427,12,50,2013-08-11 12:00:00,summer,-19.0
8971,2013,1,11,751.0,800,-9.0,912.0,917,-5.0,US,2165,N762US,LGA,DCA,50.0,214,8,0,2013-01-11 08:00:00,winter,-14.0
32034,2013,10,6,1345.0,1355,-10.0,1525.0,1542,-17.0,EV,4100,N18120,EWR,MEM,137.0,946,13,55,2013-10-06 13:00:00,fall,-27.0
217427,2013,5,27,701.0,700,1.0,903.0,928,-25.0,DL,1547,N940DL,LGA,ATL,104.0,762,7,0,2013-05-27 07:00:00,spring,-24.0
317214,2013,9,9,2027.0,2001,26.0,2254.0,2248,6.0,B6,65,N643JB,JFK,ABQ,226.0,1826,20,1,2013-09-09 20:00:00,summer,32.0
77857,2013,11,24,1835.0,1830,5.0,2107.0,2110,-3.0,DL,87,N377DA,JFK,ATL,107.0,760,18,30,2013-11-24 18:00:00,fall,2.0
65274,2013,11,11,1007.0,845,82.0,1317.0,1206,71.0,EV,4935,N760EV,LGA,SRQ,150.0,1047,8,45,2013-11-11 08:00:00,fall,153.0
31214,2013,10,5,1123.0,1122,1.0,1340.0,1353,-13.0,EV,4679,N14180,EWR,JAX,110.0,820,11,22,2013-10-05 11:00:00,fall,-12.0
116838,2013,2,7,1218.0,1221,-3.0,1405.0,1418,-13.0,EV,4640,N14105,EWR,DAY,84.0,533,12,21,2013-02-07 12:00:00,winter,-16.0
202185,2013,5,10,1012.0,1015,-3.0,1205.0,1241,-36.0,US,196,N547UW,JFK,PHX,275.0,2153,10,15,2013-05-10 10:00:00,spring,-39.0
1335,2013,1,2,1451.0,1457,-6.0,1755.0,1801,-6.0,B6,141,N508JB,JFK,PBI,157.0,1028,14,57,2013-01-02 14:00:00,winter,-12.0
35975,2013,10,10,1427.0,1417,10.0,1649.0,1646,3.0,UA,587,N836UA,EWR,LAS,297.0,2227,14,17,2013-10-10 14:00:00,fall,13.0
180217,2013,4,16,,1345,,,1700,,AA,1073,N3FAAA,LGA,MIA,,1096,13,45,2013-04-16 13:00:00,spring,
206736,2013,5,15,1027.0,1037,-10.0,1136.0,1153,-17.0,EV,3826,N12567,EWR,BUF,50.0,282,10,37,2013-05-15 10:00:00,spring,-27.0
226013,2013,6,5,828.0,837,-9.0,1039.0,1044,-5.0,EV,4364,N14174,EWR,MCI,158.0,1092,8,37,2013-06-05 08:00:00,spring,-14.0
9782,2013,1,12,600.0,600,0.0,731.0,800,-29.0,WN,855,N283WN,LGA,STL,136.0,888,6,0,2013-01-12 06:00:00,winter,-29.0
146837,2013,3,12,1302.0,1310,-8.0,1445.0,1447,-2.0,EV,4681,N14952,EWR,GSO,78.0,445,13,10,2013-03-12 13:00:00,winter,-10.0
220141,2013,5,29,2017.0,2020,-3.0,2348.0,3,-15.0,B6,649,N652JB,JFK,SFO,350.0,2586,20,20,2013-05-29 20:00:00,spring,-18.0
204613,2013,5,13,735.0,740,-5.0,1005.0,1040,-35.0,AA,715,N591AA,LGA,DFW,187.0,1389,7,40,2013-05-13 07:00:00,spring,-40.0
259934,2013,7,11,1024.0,1029,-5.0,1138.0,1141,-3.0,EV,3853,N14916,EWR,BNA,114.0,748,10,29,2013-07-11 10:00:00,summer,-8.0
10516,2013,1,13,718.0,725,-7.0,958.0,1035,-37.0,AS,11,N594AS,EWR,SEA,315.0,2402,7,25,2013-01-13 07:00:00,winter,-44.0
284853,2013,8,6,859.0,900,-1.0,1046.0,1035,11.0,UA,1092,N26208,LGA,ORD,114.0,733,9,0,2013-08-06 09:00:00,summer,10.0
264605,2013,7,16,826.0,827,-1.0,1125.0,1122,3.0,UA,1401,N75428,EWR,MIA,142.0,1085,8,27,2013-07-16 08:00:00,summer,2.0
284795,2013,8,6,814.0,755,19.0,937.0,930,7.0,AA,309,N4WLAA,LGA,ORD,112.0,733,7,55,2013-08-06 07:00:00,summer,26.0
164982,2013,3,31,2011.0,2020,-9.0,2243.0,2245,-2.0,MQ,4662,N515MQ,LGA,ATL,115.0,762,20,20,2013-03-31 20:00:00,spring,-11.0
12250,2013,1,15,621.0,625,-4.0,915.0,916,-1.0,B6,79,N644JB,JFK,MCO,141.0,944,6,25,2013-01-15 06:00:00,winter,-5.0
84069,2013,12,1,2051.0,2100,-9.0,2158.0,2225,-27.0,MQ,3660,N527MQ,LGA,BNA,112.0,764,21,0,2013-12-01 21:00:00,fall,-36.0
172578,2013,4,8,2035.0,2040,-5.0,2357.0,2355,2.0,B6,1069,N184JB,JFK,AUS,222.0,1521,20,40,2013-04-08 20:00:00,spring,-3.0
113295,2013,2,3,1452.0,1500,-8.0,1649.0,1655,-6.0,MQ,4429,N725MQ,LGA,CMH,85.0,479,15,0,2013-02-03 15:00:00,winter,-14.0
146825,2013,3,12,1253.0,1252,1.0,1421.0,1420,1.0,EV,4106,N13979,EWR,BNA,121.0,748,12,52,2013-03-12 12:00:00,winter,2.0
210371,2013,5,19,1046.0,1045,1.0,1337.0,1420,-43.0,VX,23,N635VA,JFK,SFO,331.0,2586,10,45,2013-05-19 10:00:00,spring,-42.0
59782,2013,11,5,1052.0,1057,-5.0,1219.0,1229,-10.0,EV,5346,N608QX,LGA,ROC,45.0,254,10,57,2013-11-05 10:00:00,fall,-15.0
132996,2013,2,25,1529.0,1400,89.0,1642.0,1513,89.0,B6,602,N265JB,JFK,PWM,50.0,273,14,0,2013-02-25 14:00:00,winter,178.0
260183,2013,7,11,1519.0,1520,-1.0,1701.0,1705,-4.0,AA,2223,N425AA,LGA,STL,130.0,888,15,20,2013-07-11 15:00:00,summer,-5.0
327833,2013,9,21,836.0,840,-4.0,941.0,938,3.0,EV,5811,N14562,EWR,PVD,40.0,160,8,40,2013-09-21 08:00:00,summer,-1.0
231238,2013,6,10,2009.0,1735,154.0,2143.0,1915,148.0,WN,19,N924WN,EWR,STL,119.0,872,17,35,2013-06-10 17:00:00,spring,302.0
63112,2013,11,8,1733.0,1740,-7.0,1859.0,1900,-1.0,B6,1407,N238JB,JFK,IAD,47.0,228,17,40,2013-11-08 17:00:00,fall,-8.0
8476,2013,1,10,1550.0,1555,-5.0,1750.0,1817,-27.0,DL,1771,N336NB,JFK,DTW,85.0,509,15,55,2013-01-10 15:00:00,winter,-32.0
164253,2013,3,31,715.0,725,-10.0,1009.0,1030,-21.0,AS,21,N553AS,EWR,SEA,336.0,2402,7,25,2013-03-31 07:00:00,spring,-31.0
203530,2013,5,11,2149.0,1930,139.0,2256.0,2054,122.0,EV,5769,N825AS,LGA,IAD,46.0,229,19,30,2013-05-11 19:00:00,spring,261.0
236926,2013,6,16,1922.0,1915,7.0,2221.0,2230,-9.0,AA,21,N338AA,JFK,LAX,330.0,2475,19,15,2013-06-16 19:00:00,spring,-2.0
15480,2013,1,18,1544.0,1545,-1.0,1754.0,1744,10.0,UA,1710,N13718,LGA,CLE,81.0,419,15,45,2013-01-18 15:00:00,winter,9.0
179373,2013,4,16,657.0,700,-3.0,944.0,1010,-26.0,AA,2279,N3HEAA,LGA,MIA,145.0,1096,7,0,2013-04-16 07:00:00,spring,-29.0
262454,2013,7,13,2336.0,2245,51.0,49.0,3,46.0,B6,486,N190JB,JFK,ROC,48.0,264,22,45,2013-07-13 22:00:00,summer,97.0
51584,2013,10,27,1436.0,1435,1.0,1627.0,1641,-14.0,DL,1819,N910DN,LGA,MSP,152.0,1020,14,35,2013-10-27 14:00:00,fall,-13.0
187343,2013,4,24,1405.0,1355,10.0,1648.0,1615,33.0,WN,1638,N275WN,EWR,PHX,317.0,2133,13,55,2013-04-24 13:00:00,spring,43.0
33193,2013,10,7,1750.0,1729,21.0,2040.0,2029,11.0,DL,2471,N3737C,EWR,SLC,270.0,1969,17,29,2013-10-07 17:00:00,fall,32.0
129786,2013,2,21,2112.0,2059,13.0,2339.0,2320,19.0,B6,115,N351JB,JFK,MSY,176.0,1182,20,59,2013-02-21 20:00:00,winter,32.0
331225,2013,9,25,542.0,545,-3.0,908.0,933,-25.0,B6,1403,N508JB,JFK,SJU,184.0,1598,5,45,2013-09-25 05:00:00,fall,-28.0
81155,2013,11,28,804.0,806,-2.0,1116.0,1140,-24.0,UA,281,N573UA,EWR,SFO,345.0,2565,8,6,2013-11-28 08:00:00,fall,-26.0
55358,2013,10,31,1158.0,1159,-1.0,1455.0,1514,-19.0,AA,1256,N3HRAA,LGA,MIA,140.0,1096,11,59,2013-10-31 11:00:00,fall,-20.0
147941,2013,3,13,1535.0,1540,-5.0,1900.0,1904,-4.0,DL,2027,N372NW,JFK,FLL,177.0,1069,15,40,2013-03-13 15:00:00,winter,-9.0
292499,2013,8,14,753.0,800,-7.0,849.0,904,-15.0,US,2138,N952UW,LGA,BOS,33.0,184,8,0,2013-08-14 08:00:00,summer,-22.0
113904,2013,2,4,830.0,830,0.0,949.0,950,-1.0,WN,369,N204WN,EWR,MDW,122.0,711,8,30,2013-02-04 08:00:00,winter,-1.0
79092,2013,11,26,655.0,655,0.0,927.0,940,-13.0,AA,1263,N3KXAA,JFK,LAS,311.0,2248,6,55,2013-11-26 06:00:00,fall,-13.0
133453,2013,2,26,622.0,630,-8.0,910.0,925,-15.0,UA,735,N495UA,EWR,MCO,145.0,937,6,30,2013-02-26 06:00:00,winter,-23.0
195770,2013,5,3,1248.0,1250,-2.0,1451.0,1455,-4.0,DL,1131,N982DL,LGA,DTW,74.0,502,12,50,2013-05-03 12:00:00,spring,-6.0
226872,2013,6,6,653.0,700,-7.0,801.0,807,-6.0,US,2163,N748UW,LGA,DCA,41.0,214,7,0,2013-06-06 07:00:00,spring,-13.0
258739,2013,7,10,634.0,640,-6.0,1031.0,1040,-9.0,AA,413,N3AWAA,JFK,SJU,201.0,1598,6,40,2013-07-10 06:00:00,summer,-15.0
126348,2013,2,18,1022.0,1022,0.0,1247.0,1314,-27.0,DL,1529,N3757D,JFK,LAS,307.0,2248,10,22,2013-02-18 10:00:00,winter,-27.0
4766,2013,1,6,1500.0,1510,-10.0,1648.0,1655,-7.0,MQ,4447,N722MQ,LGA,RDU,83.0,431,15,10,2013-01-06 15:00:00,winter,-17.0
103770,2013,12,23,955.0,835,80.0,1210.0,1040,90.0,EV,4537,N13978,EWR,MEM,175.0,946,8,35,2013-12-23 08:00:00,winter,170.0
248034,2013,6,28,1025.0,1025,0.0,1216.0,1225,-9.0,MQ,3689,N535MQ,LGA,DTW,76.0,502,10,25,2013-06-28 10:00:00,summer,-9.0
253494,2013,7,4,824.0,825,-1.0,1050.0,1105,-15.0,AA,719,N3EKAA,LGA,DFW,184.0,1389,8,25,2013-07-04 08:00:00,summer,-16.0
325821,2013,9,19,753.0,759,-6.0,937.0,1019,-42.0,9E,3507,N921XJ,JFK,MSY,144.0,1182,7,59,2013-09-19 07:00:00,summer,-48.0
8957,2013,1,11,728.0,715,13.0,1057.0,1040,17.0,UA,799,N554UA,JFK,SFO,357.0,2586,7,15,2013-01-11 07:00:00,winter,30.0
272728,2013,7,24,1550.0,1448,62.0,1838.0,1741,57.0,UA,1618,N25705,EWR,TPA,146.0,997,14,48,2013-07-24 14:00:00,summer,119.0
327600,2013,9,20,2032.0,2045,-13.0,2131.0,2153,-22.0,B6,2680,N368JB,EWR,BOS,42.0,200,20,45,2013-09-20 20:00:00,summer,-35.0
166116,2013,4,2,630.0,634,-4.0,948.0,951,-3.0,UA,1276,N24706,EWR,AUS,236.0,1504,6,34,2013-04-02 06:00:00,spring,-7.0
237757,2013,6,17,1732.0,1720,12.0,1957.0,1948,9.0,UA,1450,N71411,EWR,DEN,232.0,1605,17,20,2013-06-17 17:00:00,spring,21.0
232556,2013,6,12,759.0,800,-1.0,1039.0,1104,-25.0,DL,2190,N334NW,JFK,MIA,137.0,1089,8,0,2013-06-12 08:00:00,spring,-26.0
143386,2013,3,8,1923.0,1901,22.0,2028.0,2021,7.0,EV,4131,N16559,EWR,RIC,46.0,277,19,1,2013-03-08 19:00:00,winter,29.0
333504,2013,9,27,1021.0,1025,-4.0,1311.0,1325,-14.0,AA,1131,N3EMAA,LGA,DFW,175.0,1389,10,25,2013-09-27 10:00:00,fall,-18.0
147098,2013,3,12,1827.0,1800,27.0,2150.0,2109,41.0,B6,989,N593JB,JFK,FLL,162.0,1069,18,0,2013-03-12 18:00:00,winter,68.0
185002,2013,4,22,655.0,700,-5.0,934.0,950,-16.0,AA,2083,N576AA,EWR,DFW,194.0,1372,7,0,2013-04-22 07:00:00,spring,-21.0
50838,2013,10,26,1414.0,1415,-1.0,1545.0,1600,-15.0,WN,1065,N466WN,LGA,STL,137.0,888,14,15,2013-10-26 14:00:00,fall,-16.0
43325,2013,10,18,1139.0,1140,-1.0,1432.0,1430,2.0,UA,1618,N18243,EWR,TPA,154.0,997,11,40,2013-10-18 11:00:00,fall,1.0
285915,2013,8,7,1024.0,1030,-6.0,1309.0,1325,-16.0,AA,19,N323AA,JFK,LAX,325.0,2475,10,30,2013-08-07 10:00:00,summer,-22.0
108562,2013,12,28,1938.0,1830,68.0,2219.0,2124,55.0,B6,183,N568JB,JFK,MCO,132.0,944,18,30,2013-12-28 18:00:00,winter,123.0
280960,2013,8,2,654.0,700,-6.0,806.0,806,0.0,US,2136,N956UW,LGA,BOS,47.0,184,7,0,2013-08-02 07:00:00,summer,-6.0
128476,2013,2,20,1506.0,1457,9.0,1807.0,1823,-16.0,UA,1194,N76502,EWR,SFO,341.0,2565,14,57,2013-02-20 14:00:00,winter,-7.0
189483,2013,4,26,1709.0,1459,130.0,1925.0,1718,127.0,B6,1275,N346JB,JFK,CHS,94.0,636,14,59,2013-04-26 14:00:00,spring,257.0
148083,2013,3,13,1729.0,1729,0.0,2031.0,2057,-26.0,UA,512,N502UA,JFK,SFO,342.0,2586,17,29,2013-03-13 17:00:00,winter,-26.0
307363,2013,8,29,1835.0,1835,0.0,2050.0,2135,-45.0,9E,3325,N905XJ,JFK,DFW,167.0,1391,18,35,2013-08-29 18:00:00,summer,-45.0
192591,2013,4,30,749.0,754,-5.0,932.0,925,7.0,UA,1162,N87507,EWR,ORD,106.0,719,7,54,2013-04-30 07:00:00,spring,2.0
319369,2013,9,12,804.0,810,-6.0,918.0,954,-36.0,EV,5463,N755EV,LGA,BNA,108.0,764,8,10,2013-09-12 08:00:00,summer,-42.0
199904,2013,5,7,2127.0,2129,-2.0,2229.0,2234,-5.0,EV,4400,N13992,EWR,DCA,39.0,199,21,29,2013-05-07 21:00:00,spring,-7.0
204213,2013,5,12,1721.0,1725,-4.0,1955.0,2034,-39.0,DL,1185,N371NW,EWR,SLC,255.0,1969,17,25,2013-05-12 17:00:00,spring,-43.0
241068,2013,6,21,619.0,620,-1.0,829.0,843,-14.0,DL,1743,N618DL,JFK,ATL,102.0,760,6,20,2013-06-21 06:00:00,summer,-15.0
9541,2013,1,11,1752.0,1800,-8.0,1908.0,1910,-2.0,WN,808,N743SW,EWR,BWI,48.0,169,18,0,2013-01-11 18:00:00,winter,-10.0
322189,2013,9,15,1226.0,1231,-5.0,1435.0,1423,12.0,EV,4640,N15985,EWR,DAY,81.0,533,12,31,2013-09-15 12:00:00,summer,7.0
118312,2013,2,9,1222.0,1220,2.0,1545.0,1532,13.0,B6,209,N640JB,JFK,LGB,353.0,2465,12,20,2013-02-09 12:00:00,winter,15.0
177093,2013,4,13,1556.0,1600,-4.0,1855.0,1901,-6.0,B6,509,N644JB,EWR,FLL,159.0,1065,16,0,2013-04-13 16:00:00,spring,-10.0
209850,2013,5,18,1557.0,1600,-3.0,1842.0,1915,-33.0,DL,1461,N727TW,JFK,LAX,315.0,2475,16,0,2013-05-18 16:00:00,spring,-36.0
71642,2013,11,18,758.0,759,-1.0,925.0,934,-9.0,AA,307,N4YTAA,LGA,ORD,123.0,733,7,59,2013-11-18 07:00:00,fall,-10.0
331980,2013,9,25,1802.0,1803,-1.0,2112.0,2117,-5.0,UA,1455,N76528,EWR,LAX,337.0,2454,18,3,2013-09-25 18:00:00,fall,-6.0
327305,2013,9,20,1604.0,1550,14.0,1749.0,1753,-4.0,EV,4667,N12172,EWR,MSP,142.0,1008,15,50,2013-09-20 15:00:00,summer,10.0
13086,2013,1,15,2304.0,2245,19.0,1.0,2357,4.0,B6,128,N779JB,JFK,BTV,43.0,266,22,45,2013-01-15 22:00:00,winter,23.0
144191,2013,3,9,1500.0,1459,1.0,1752.0,1814,-22.0,B6,137,N779JB,JFK,RSW,154.0,1074,14,59,2013-03-09 14:00:00,winter,-21.0
152396,2013,3,18,1203.0,1205,-2.0,1339.0,1345,-6.0,WN,1791,N284WN,EWR,STL,137.0,872,12,5,2013-03-18 12:00:00,winter,-8.0
152426,2013,3,18,1254.0,1232,22.0,1509.0,1429,40.0,EV,4135,N16559,EWR,CLT,90.0,529,12,32,2013-03-18 12:00:00,winter,62.0
992,2013,1,2,801.0,730,31.0,1136.0,1040,56.0,AA,2083,N487AA,EWR,DFW,241.0,1372,7,30,2013-01-02 07:00:00,winter,87.0
271836,2013,7,23,1907.0,1555,192.0,2144.0,1744,240.0,B6,1105,N334JB,JFK,ORD,129.0,740,15,55,2013-07-23 15:00:00,summer,432.0
27029,2013,10,1,559.0,600,-1.0,831.0,851,-20.0,UA,698,N827UA,EWR,TPA,128.0,997,6,0,2013-10-01 06:00:00,fall,-21.0
142965,2013,3,8,854.0,755,59.0,1105.0,1026,39.0,UA,561,N541UA,LGA,DEN,229.0,1620,7,55,2013-03-08 07:00:00,winter,98.0
32632,2013,10,7,657.0,700,-3.0,953.0,1001,-8.0,DL,1879,N371NB,LGA,FLL,146.0,1076,7,0,2013-10-07 07:00:00,fall,-11.0
190832,2013,4,28,1100.0,1100,0.0,1204.0,1210,-6.0,MQ,3792,N530MQ,JFK,DCA,49.0,213,11,0,2013-04-28 11:00:00,spring,-6.0
213140,2013,5,22,819.0,829,-10.0,959.0,1024,-25.0,MQ,4607,N514MQ,LGA,CMH,70.0,479,8,29,2013-05-22 08:00:00,spring,-35.0
327333,2013,9,20,1629.0,1629,0.0,1904.0,1933,-29.0,B6,1161,N517JB,LGA,PBI,130.0,1035,16,29,2013-09-20 16:00:00,summer,-29.0
12441,2013,1,15,910.0,900,10.0,1223.0,1216,7.0,UA,1405,N17233,LGA,IAH,235.0,1416,9,0,2013-01-15 09:00:00,winter,17.0
71708,2013,11,18,854.0,900,-6.0,1130.0,1206,-36.0,B6,1701,N587JB,JFK,FLL,142.0,1069,9,0,2013-11-18 09:00:00,fall,-42.0
62708,2013,11,8,1049.0,1050,-1.0,1234.0,1259,-25.0,EV,3852,N13566,EWR,DTW,83.0,488,10,50,2013-11-08 10:00:00,fall,-26.0
92797,2013,12,11,1031.0,1030,1.0,1430.0,1410,20.0,US,679,N519UW,JFK,PHX,339.0,2153,10,30,2013-12-11 10:00:00,fall,21.0
314665,2013,9,6,2119.0,2120,-1.0,2339.0,2354,-15.0,B6,1677,N353JB,JFK,JAX,112.0,828,21,20,2013-09-06 21:00:00,summer,-16.0
116347,2013,2,6,1942.0,1945,-3.0,2209.0,2241,-32.0,9E,3314,N602LR,JFK,JAX,116.0,828,19,45,2013-02-06 19:00:00,winter,-35.0
172868,2013,4,9,848.0,855,-7.0,1112.0,1120,-8.0,MQ,4619,N521MQ,LGA,ATL,112.0,762,8,55,2013-04-09 08:00:00,spring,-15.0
51356,2013,10,27,932.0,929,3.0,1209.0,1234,-25.0,AA,1223,N201AA,EWR,DFW,193.0,1372,9,29,2013-10-27 09:00:00,fall,-22.0
293183,2013,8,14,1913.0,1905,8.0,2104.0,2108,-4.0,9E,3525,N936XJ,JFK,ORD,109.0,740,19,5,2013-08-14 19:00:00,summer,4.0
125045,2013,2,16,1728.0,1720,8.0,1933.0,1957,-24.0,DL,884,N363NW,LGA,DEN,212.0,1620,17,20,2013-02-16 17:00:00,winter,-16.0
299346,2013,8,21,1042.0,1025,17.0,1335.0,1308,27.0,B6,925,N789JB,JFK,TPA,147.0,1005,10,25,2013-08-21 10:00:00,summer,44.0
206291,2013,5,14,1922.0,1925,-3.0,2036.0,2105,-29.0,WN,3135,N626SW,LGA,MKE,119.0,738,19,25,2013-05-14 19:00:00,spring,-32.0
113763,2013,2,4,624.0,630,-6.0,854.0,843,11.0,US,1433,N558UW,LGA,CLT,87.0,544,6,30,2013-02-04 06:00:00,winter,5.0
278106,2013,7,30,854.0,855,-1.0,1142.0,1156,-14.0,UA,1058,N33714,LGA,IAH,182.0,1416,8,55,2013-07-30 08:00:00,summer,-15.0
220866,2013,5,30,1627.0,1632,-5.0,2009.0,1956,13.0,B6,675,N806JB,JFK,LAX,351.0,2475,16,32,2013-05-30 16:00:00,spring,8.0
155360,2013,3,21,1335.0,1345,-10.0,1426.0,1453,-27.0,9E,3638,N8495B,JFK,PHL,26.0,94,13,45,2013-03-21 13:00:00,spring,-37.0
17778,2013,1,21,1433.0,1420,13.0,1622.0,1620,2.0,MQ,4588,N517MQ,LGA,MSP,153.0,1020,14,20,2013-01-21 14:00:00,winter,15.0
193950,2013,5,1,1456.0,1500,-4.0,1630.0,1640,-10.0,MQ,4333,N900MQ,JFK,PIT,61.0,340,15,0,2013-05-01 15:00:00,spring,-14.0
27283,2013,10,1,946.0,840,66.0,1113.0,1020,53.0,MQ,3531,N724MQ,LGA,RDU,62.0,431,8,40,2013-10-01 08:00:00,fall,119.0
107881,2013,12,28,606.0,615,-9.0,811.0,818,-7.0,US,1963,N104UW,EWR,CLT,80.0,529,6,15,2013-12-28 06:00:00,winter,-16.0
151942,2013,3,17,2140.0,2145,-5.0,44.0,34,10.0,B6,35,N624JB,JFK,PBI,151.0,1028,21,45,2013-03-17 21:00:00,winter,5.0
330627,2013,9,24,1128.0,1129,-1.0,1350.0,1405,-15.0,B6,127,N552JB,EWR,MCO,126.0,937,11,29,2013-09-24 11:00:00,fall,-16.0
147857,2013,3,13,1420.0,1422,-2.0,1706.0,1715,-9.0,UA,1424,N14118,EWR,TPA,151.0,997,14,22,2013-03-13 14:00:00,winter,-11.0
330764,2013,9,24,1428.0,1432,-4.0,1539.0,1559,-20.0,EV,5713,N820AS,LGA,IAD,51.0,229,14,32,2013-09-24 14:00:00,fall,-24.0
144046,2013,3,9,1149.0,1200,-11.0,1259.0,1330,-31.0,MQ,4601,N525MQ,LGA,BNA,112.0,764,12,0,2013-03-09 12:00:00,winter,-42.0
279515,2013,7,31,1611.0,1617,-6.0,1759.0,1811,-12.0,EV,4092,N14568,EWR,DAY,83.0,533,16,17,2013-07-31 16:00:00,summer,-18.0
42765,2013,10,17,1848.0,1248,360.0,2040.0,1450,350.0,DL,1131,N354NW,LGA,DTW,86.0,502,12,48,2013-10-17 12:00:00,fall,710.0
96998,2013,12,16,622.0,630,-8.0,748.0,815,-27.0,AA,303,N3CMAA,LGA,ORD,119.0,733,6,30,2013-12-16 06:00:00,fall,-35.0
39919,2013,10,14,2003.0,1942,21.0,2238.0,2250,-12.0,B6,1271,N526JB,LGA,FLL,133.0,1076,19,42,2013-10-14 19:00:00,fall,9.0
216462,2013,5,25,1726.0,1715,11.0,1940.0,2000,-20.0,WN,2953,N915WN,LGA,DEN,230.0,1620,17,15,2013-05-25 17:00:00,spring,-9.0
